indexw,user,token,amount
40,7L2NikNiXR2gChiTcZFU4tywYnpzTupZ5bAxzFeheawp,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,7.00000011
41,9NyUEFdjqGTCAP29dpHcsCFFjFVUuZAaGvBaeeX9xsyU,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,5.3e-08
42,7tuU2pz7rDA1SsUG48bjGZfRbKgon3E2GymRsYR2t1y,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.812697
43,EymDDyvGoeZA7qLkrb7Ht45MkiEuvGhyduyeM6DxpCB6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3406.392248
44,C86QG5BX8ssj3bKW7ifUwMZzHDmJ8cnQyEJvXivjkZ3z,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.11639
45,C86QG5BX8ssj3bKW7ifUwMZzHDmJ8cnQyEJvXivjkZ3z,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0.1
46,C86QG5BX8ssj3bKW7ifUwMZzHDmJ8cnQyEJvXivjkZ3z,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,0.00020571
47,2HE6V4QVGEGNYWuzFuzjFm23h3METaMB1udoXXxVufbm,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.184377
48,2HE6V4QVGEGNYWuzFuzjFm23h3METaMB1udoXXxVufbm,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,2e-09
49,2HE6V4QVGEGNYWuzFuzjFm23h3METaMB1udoXXxVufbm,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,49.69
50,5HSLzby8gsgRdyAimuhwMnZ5S2GKptBxDpUJSAniyAWH,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1871.716728
51,5HSLzby8gsgRdyAimuhwMnZ5S2GKptBxDpUJSAniyAWH,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.57e-07
52,97PKVqtJzNowMFn4qCdhNWZvsGojYCiSonB2znLNAqsL,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,0.028232563
53,97PKVqtJzNowMFn4qCdhNWZvsGojYCiSonB2znLNAqsL,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0.068710564
54,97PKVqtJzNowMFn4qCdhNWZvsGojYCiSonB2znLNAqsL,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.280452
55,4RWhkCrYhWSLUMG15MBikWjkfMyYXeycJcif6HmuvfrD,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,82.168405
56,4RWhkCrYhWSLUMG15MBikWjkfMyYXeycJcif6HmuvfrD,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,20.250044851
57,4RWhkCrYhWSLUMG15MBikWjkfMyYXeycJcif6HmuvfrD,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,5.16e-07
58,4Wc4e4Z9SQAYarVaT2us3mrzDGMjRVo1DT6CQRyCPNXW,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.9e-07
59,4Wc4e4Z9SQAYarVaT2us3mrzDGMjRVo1DT6CQRyCPNXW,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,677.26429042
60,4Wc4e4Z9SQAYarVaT2us3mrzDGMjRVo1DT6CQRyCPNXW,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3.719678
61,31JsD7c7A6TEAw4AXN1KFqSc71DkkxZekmpqJ8Hn3y4y,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0.100380586
62,31JsD7c7A6TEAw4AXN1KFqSc71DkkxZekmpqJ8Hn3y4y,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.212308
63,2N1uKvJwzeUqPo5uN8Y38vdwwyiW9ENekqrdyarzxeaj,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.027296
64,4X8GrtRGSeX3KvP1HktHBCBi69graJ2fDikVyeqvGGde,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,4.6e-08
65,4X8GrtRGSeX3KvP1HktHBCBi69graJ2fDikVyeqvGGde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1830.903488
66,Bt5aYQt2eLo1pHusrQMBAWgfsare37kRQnPBbaHDe4G9,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,19.985715401
67,Bt5aYQt2eLo1pHusrQMBAWgfsare37kRQnPBbaHDe4G9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,24.615116
68,Daqa2JSWezvk4GXtTsDWvXn4tZ19HkZLebWGpuzBfM5P,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,2.42e-07
69,Daqa2JSWezvk4GXtTsDWvXn4tZ19HkZLebWGpuzBfM5P,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,8e-08
70,Daqa2JSWezvk4GXtTsDWvXn4tZ19HkZLebWGpuzBfM5P,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,99.078758
71,5ZYAggNGpPMLCxpoj7zd65mqWyiqBttN7gAQfR9y1ubd,CQyosTu6pHVFLSJ4fxttN3qxyyE2C7qkP7jTA3bQCd49,3.0
72,5ZYAggNGpPMLCxpoj7zd65mqWyiqBttN7gAQfR9y1ubd,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,453.586934
73,5ZYAggNGpPMLCxpoj7zd65mqWyiqBttN7gAQfR9y1ubd,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.760000171
74,H3Gb4PdaeFEWNKRm4M1x27q5sHRbeSMrsQGKYzW8RkNT,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,2.07e-07
75,H3Gb4PdaeFEWNKRm4M1x27q5sHRbeSMrsQGKYzW8RkNT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.155578
76,DCzXDSw7EPDToBwEwinretdoyHWeRTvor6hZWT2wh3eu,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.90526
77,DCzXDSw7EPDToBwEwinretdoyHWeRTvor6hZWT2wh3eu,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.01e-07
78,BBrnFvcNcUYXsrwP9hPsg1fwHfMqoeMgdoou73bunUw2,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.24e-07
79,BBrnFvcNcUYXsrwP9hPsg1fwHfMqoeMgdoou73bunUw2,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,104.715777
80,ZVFVJbnLyLoWh4bGAuAgYR1VbCWJ3mxepncWX6TEnsr,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.28e-07
81,ZVFVJbnLyLoWh4bGAuAgYR1VbCWJ3mxepncWX6TEnsr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.161335
82,4w1EhnhSzEdp1NLD5BgA5gnnfkocDtrjReb1zePq9tEP,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,0.170781476
83,4w1EhnhSzEdp1NLD5BgA5gnnfkocDtrjReb1zePq9tEP,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5.117894
84,4w1EhnhSzEdp1NLD5BgA5gnnfkocDtrjReb1zePq9tEP,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0.570598299
85,7uJVQHLzjFTdGPFsY5EGxX9kjQGy3JNhAq7sTL257WiH,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3.305683
86,7uJVQHLzjFTdGPFsY5EGxX9kjQGy3JNhAq7sTL257WiH,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.65e-07
87,2KMXMjNuRXMGxW9juvUcNgcZmuPsSmXX2ctbz2Tnu6wT,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.28e-07
88,2KMXMjNuRXMGxW9juvUcNgcZmuPsSmXX2ctbz2Tnu6wT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,358.657617
89,Cq3K4XNCBwnKNZiWmXjn4ibrZVsBAvJs1K259WPVrGaS,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.5e-07
90,Cq3K4XNCBwnKNZiWmXjn4ibrZVsBAvJs1K259WPVrGaS,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,358.951515
91,9hxyt4iiJA3DT27M68ZgR66kzhnWoUVhHKCZniXrJ5wZ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.867273
92,9hxyt4iiJA3DT27M68ZgR66kzhnWoUVhHKCZniXrJ5wZ,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,9.8e-08
93,9hxyt4iiJA3DT27M68ZgR66kzhnWoUVhHKCZniXrJ5wZ,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,2.09e-07
94,H3CGA6JpvTBp3uvDS2jLcQ9h9mubNwm3BSVbSDvXqQuJ,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,2.83e-07
95,H3CGA6JpvTBp3uvDS2jLcQ9h9mubNwm3BSVbSDvXqQuJ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5.01882
96,H3CGA6JpvTBp3uvDS2jLcQ9h9mubNwm3BSVbSDvXqQuJ,CQyosTu6pHVFLSJ4fxttN3qxyyE2C7qkP7jTA3bQCd49,3.0
97,HsVAj2GfnErthJjRBjEKPSBBtZPyEA9Dtum5MU61hMnd,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,499.172517
98,HsVAj2GfnErthJjRBjEKPSBBtZPyEA9Dtum5MU61hMnd,RLBxxFkseAZ4RgJH3Sqn8jXxhmGoz9jWxDNJMh8pL7a,77.7
99,HsVAj2GfnErthJjRBjEKPSBBtZPyEA9Dtum5MU61hMnd,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,1.824336
100,HsVAj2GfnErthJjRBjEKPSBBtZPyEA9Dtum5MU61hMnd,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,1e-09
101,HsVAj2GfnErthJjRBjEKPSBBtZPyEA9Dtum5MU61hMnd,SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y,6.96e-07
102,H1zqJGEt1Gu4LmcSfB4HjQf6EmUznXJXVFzwBNzBzPrK,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2.12431
103,H1zqJGEt1Gu4LmcSfB4HjQf6EmUznXJXVFzwBNzBzPrK,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,60.736700867
104,H1zqJGEt1Gu4LmcSfB4HjQf6EmUznXJXVFzwBNzBzPrK,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0.100000152
105,H9qEZwtbXpx2tft8Sz9DsQYKSUknmcYvqkksJiWJLRZP,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0.943594914
106,3FknNad68wRejcXsXJNEMnP4GxSCdM41gzXHW3ZsdpQV,CQyosTu6pHVFLSJ4fxttN3qxyyE2C7qkP7jTA3bQCd49,3.0
107,3FknNad68wRejcXsXJNEMnP4GxSCdM41gzXHW3ZsdpQV,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,14.230999
108,3FknNad68wRejcXsXJNEMnP4GxSCdM41gzXHW3ZsdpQV,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0.19182874
109,3FknNad68wRejcXsXJNEMnP4GxSCdM41gzXHW3ZsdpQV,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,0.077722544
110,9poocJHVCMfLQq3KWU1YXVMZHGaByLZATnrXvQHLzfRi,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.09645
111,9poocJHVCMfLQq3KWU1YXVMZHGaByLZATnrXvQHLzfRi,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.87e-07
112,HxtrmYU7H3MpV2AVWkzUmJaUP6VRhgJkH2SGzJ6roKXh,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,10.000000018
113,FwmnPmToLd5i1No2JtP3a9JNBPRJUCjQa6vyjMX9a4Zq,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.290939
114,FwmnPmToLd5i1No2JtP3a9JNBPRJUCjQa6vyjMX9a4Zq,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,30.874072645
115,FwmnPmToLd5i1No2JtP3a9JNBPRJUCjQa6vyjMX9a4Zq,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,24.240000341
116,Eoqi6j6EnrYp8wdNYReUqA2C1x77tnbArSJwZVAYSD5z,HHjoYwUp5aU6pnrvN4s2pwEErwXNZKhxKGYjRJMoBjLw,25.0
117,Eoqi6j6EnrYp8wdNYReUqA2C1x77tnbArSJwZVAYSD5z,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,0.893113
118,Eoqi6j6EnrYp8wdNYReUqA2C1x77tnbArSJwZVAYSD5z,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.115371
119,Eoqi6j6EnrYp8wdNYReUqA2C1x77tnbArSJwZVAYSD5z,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,2.2e-08
120,AFk5vyG9tnre3zzxxiiEZzj1xxarv1sfeFJ2PmkiFLPb,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,745.155983
121,AFk5vyG9tnre3zzxxiiEZzj1xxarv1sfeFJ2PmkiFLPb,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,24.462251192
122,AFk5vyG9tnre3zzxxiiEZzj1xxarv1sfeFJ2PmkiFLPb,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,0.561902242
123,2QLtAMuTwCifQzwMdTUDoQHmkunyAfmeFLVBNbueHdJi,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.39e-07
124,2QLtAMuTwCifQzwMdTUDoQHmkunyAfmeFLVBNbueHdJi,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.395087
125,2QLtAMuTwCifQzwMdTUDoQHmkunyAfmeFLVBNbueHdJi,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,2.781556649
126,26iLkbLzC9ZYTJFa1V982wrVUQgEQfFpGaBD37ogFtjf,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3972.283761
127,26iLkbLzC9ZYTJFa1V982wrVUQgEQfFpGaBD37ogFtjf,CQyosTu6pHVFLSJ4fxttN3qxyyE2C7qkP7jTA3bQCd49,3.0
128,26iLkbLzC9ZYTJFa1V982wrVUQgEQfFpGaBD37ogFtjf,XzR7CUMqhDBzbAm4aUNvwhVCxjWGn1KEvqTp3Y8fFCD,2.0
129,26iLkbLzC9ZYTJFa1V982wrVUQgEQfFpGaBD37ogFtjf,MERt85fc5boKw3BW1eYdxonEuJNvXbiMbs6hvheau5K,2621.569356
130,26iLkbLzC9ZYTJFa1V982wrVUQgEQfFpGaBD37ogFtjf,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,1.74e-07
131,AB8G8omTvdWv9bAFBLwA5p1KKsf4SGAbtW9dxLuAPpzv,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1110.093394
132,AB8G8omTvdWv9bAFBLwA5p1KKsf4SGAbtW9dxLuAPpzv,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,7e-09
133,D9VdUsg9QeGmifdDHYAd3zv4NRyyHcn9TgJk16YHXpFp,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.44e-06
134,D9VdUsg9QeGmifdDHYAd3zv4NRyyHcn9TgJk16YHXpFp,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.117991
135,D9VdUsg9QeGmifdDHYAd3zv4NRyyHcn9TgJk16YHXpFp,ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx,6476.22516659
136,GXCriwe5zaP3aXLqe6TTwzGi2ZkNV4yL3hK6WWcFtpaV,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,2.1e-08
137,GXCriwe5zaP3aXLqe6TTwzGi2ZkNV4yL3hK6WWcFtpaV,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,359.669514
138,2LbLHi4mDMK5SMuhY9D2oR1KUYeQSWXBgusD7Zn6RqAd,HHjoYwUp5aU6pnrvN4s2pwEErwXNZKhxKGYjRJMoBjLw,24.75
139,2LbLHi4mDMK5SMuhY9D2oR1KUYeQSWXBgusD7Zn6RqAd,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.92e-07
140,2LbLHi4mDMK5SMuhY9D2oR1KUYeQSWXBgusD7Zn6RqAd,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,555.382633
141,BiApfpNg1gdWJgy3D2UeRAPNsYg17K298WKiASZm3ha8,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.56e-07
142,BiApfpNg1gdWJgy3D2UeRAPNsYg17K298WKiASZm3ha8,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,733.874043
143,G7B6hDTJdQ2s9qe5MeAe7XCKAfhcDEpkaApeyxJQExrN,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.35e-07
144,GNjPRPVsTRp3RMkfkwqjT2NWqJaD7JoGdHBpGPBiBJVf,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,2e-07
145,Wk9pDKoVo2h7g6cb8kgtENV12xqCLB96Rxwp9tPVhWv,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.3e-07
146,Wk9pDKoVo2h7g6cb8kgtENV12xqCLB96Rxwp9tPVhWv,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.043316
147,2GQxVP65zPmVXEYJUpvoeicNr9xnKiCjP9t9nYkov4EL,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,14.535081
148,2GQxVP65zPmVXEYJUpvoeicNr9xnKiCjP9t9nYkov4EL,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0.500000318
149,2GQxVP65zPmVXEYJUpvoeicNr9xnKiCjP9t9nYkov4EL,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.239227
